Tamb,I,Tcool_in,mass_flowrate,eff_gain,Tp_no_cool,Tp_cool
41.5,399,21.527859407839884,0.0003020408163265306,0.0181685970081612,325.047175015768,314.623722263982
39.5,191,25.845675879380273,0.0001,0.0112793539303858,317.711956866795,312.6303092579728
30.200000000000003,128,23.64923960374428,0.0001,0.00603172637959875,306.865200300991,303.3413204855815
33.4,330,23.12582487878192,0.0001,0.0112066451372105,315.426918007599,306.53911393293964
36.9,540,27.127569967012604,0.0001,0.0138649199079052,324.257847644886,310.0444161699038
39.5,731,28.499755675854487,0.0001,0.0174606199127281,331.538994898301,312.64631292918824
41.1,883,26.99459604147565,0.0003020408163265306,0.0213055961837627,336.779261621950,314.2441255132421
42.900000000000006,1029,28.702613193283625,0.0003020408163265306,0.0234039923949590,341.963681387043,316.04704604031997
43.3,1013,24.75206213695874,0.0003020408163265306,0.0254259984717962,341.943296174212,316.43915063463817
43.5,932,28.997517382656266,0.0003020408163265306,0.0220807171782995,340.175287712363,316.6444695091528
43.2,796,28.023112941343296,0.0003020408163265306,0.0204500844365264,336.590000456563,316.34042858457303
42.5,614,22.496116156205474,0.0003020408163265306,0.0209767545541909,331.433601215461,315.62820320821356
41.3,406,25.764739305325897,0.0003020408163265306,0.0153247592193118,325.033640660744,314.4315777584998
38.7,194,26.35803395000532,0.0001,0.0105031524436670,317.005339747544,311.8326523984671
30.1,333,23.427090165882102,0.0001,0.00924167383376228,312.309450373059,303.2454333940756
32.6,543,27.81140046371692,0.004746938775510205,0.0130408354304741,320.250783458941,305.75313744206215
34.4,734,19.45528511208011,0.0003020408163265306,0.0199719895848844,326.855626694929,307.53952383572465
35.5,888,23.44528001818695,0.0001,0.0209784822421460,331.750760294466,308.64779347968533
36.3,1032,28.195102433538374,0.006767346938775511,0.0239181646530041,336.044525986884,309.45769328947483
36.2,1008,30.613891734052736,0.007979591836734695,0.0233908858292821,335.363864471794,309.3615626102635
33.300000000000004,611,24.241274630717864,0.0001,0.0149831944673737,322.675192387325,306.4471539916068
31.3,405,20.76275196292801,0.0001,0.0125281587107621,315.385292833640,304.4402392757458
29.0,196,24.741346492613182,0.0001,0.00568002095525149,307.537506147972,302.1467370347591
21.3,126,27.526927160903337,0.008585714285714287,0.00318683634981109,298.017229451067,294.46347586142485
23.3,322,23.536586583887555,0.0065653061224489806,0.00805745584599927,305.420789831265,296.4572045859341
25.3,526,28.740991560614482,0.009393877551020408,0.0129461880148461,312.864968911104,298.4670753317586
27.200000000000003,713,26.062120924997323,0.008383673469387756,0.0172957062644610,319.593268989022,300.3630661981851
28.9,863,24.388358769123425,0.0077775510204081645,0.0206748706465105,325.044553968365,302.0603699661207
30.5,949,23.727974478780915,0.006969387755102042,0.0225247465620971,328.697098576507,303.65825763150855
31.8,1011,29.910008756402696,0.00959591836734694,0.0238110987702821,331.438115874241,304.96804684911973
32.7,993,29.868384507135833,0.009191836734693879,0.0233355460055163,331.807573976281,305.8660312811165
33.0,913,24.60769953955286,0.005555102040816327,0.0215246816046882,330.080261041762,306.154683336734
32.800000000000004,782,28.332539380338467,0.0071714285714285725,0.0185544754550951,326.586361558740,305.9587377721046
32.0,608,28.00494181708106,0.006161224489795919,0.0145842866783908,321.370762203983,305.155887368613
30.700000000000003,406,24.74838383183366,0.0001,0.0101413331093740,314.834547811011,303.8482265956732
28.700000000000003,199,25.617547565662065,0.0001,0.00501523273545076,307.324837262960,301.84884364147143
18.7,141,27.741037624936315,0.00979795918367347,0.00359270686284209,295.873893650220,291.8686810435951
21.4,353,26.04388329613523,0.008989795918367348,0.00886897553311169,304.433038616169,294.5655150422665
24.4,570,25.210179657574134,0.008585714285714287,0.0140487721442558,313.185997799092,297.56343336555716
27.1,769,27.48374276042233,0.009393877551020408,0.0186093921311843,320.957221851713,300.26689107322125
29.5,925,24.55668230677243,0.0077775510204081645,0.0220515541447772,327.174919814652,302.6609281334094
31.4,1021,23.64535318198078,0.006969387755102042,0.0240796880139507,331.324541886037,304.5580696708485
33.0,1071,20.766720605977042,0.00333265306122449,0.0250741960014849,334.016829167816,306.1513442340592
34.1,1052,24.30867870408635,0.005757142857142858,0.0245499444480665,334.542544824594,307.2551855730844
34.6,968,27.175247896274065,0.006767346938775511,0.0226339317203697,332.917351171525,307.75752456972435
34.5,830,23.43253741118591,0.0001,0.0197017364332729,329.375614591965,307.64828486747416
33.800000000000004,646,24.022268242580612,0.0001,0.0158246505162436,324.046760943417,306.94664335706256
32.300000000000004,433,32.38097757227423,0.007373469387755103,0.0104529908944983,317.085452550284,305.45927614767913
29.700000000000003,214,29.421990994878108,0.005353061224489797,0.00526529476355969,308.713075729709,302.85403202993814
