Tamb,I,Tcoolant_in,mass_flowrate_optimal,efficiency_gain_optimal
23.8,319,24.947996334027014,0.0065653061224489806,0.00842488641906269
31.0,392,25.85917640178193,0.0001,0.00693216984179445
28.9,196,23.570937990149528,0.0001,0.00453274637929662
20.8,129,25.11606562637492,0.006969387755102042,0.00507637239546991
23.8,329,26.204879389291907,0.0071714285714285725,0.00866775595346185
26.6,540,23.372046646664113,0.005555102040816327,0.0124887796555587
29.0,729,26.346321984024,0.0071714285714285725,0.0158269476619213
31.1,882,25.135260832727628,0.00636326530612245,0.0183809871143104
32.6,970,25.682108005108883,0.0065653061224489806,0.0196732552585467
22.0,129,29.314398235535933,0.008181632653061224,0.00452049498384429
25.3,330,27.208439779074347,0.006969387755102042,0.00799710838331559
28.6,541,23.151720059105863,0.0035346938775510208,0.0115789647016175
31.200000000000003,732,21.564773003380864,0.0001,0.0149558233482483
33.1,887,27.085357606048035,0.00636326530612245,0.0175338139943855
34.4,992,23.728807136081066,0.003938775510204082,0.0193129830266361
35.300000000000004,1035,24.716404409656068,0.004544897959183674,0.0198475213745207
35.9,1017,24.39167915923483,0.003130612244897959,0.0191556251680324
36.1,937,24.766194846730738,0.001312244897959184,0.0172529003444622
35.9,801,25.10075741146518,0.0001,0.0144220657890117
35.4,603,21.88131614990496,0.0003020408163265306,0.0126613536631237
34.4,405,23.768709802682142,0.0001,0.00832922628928170
24.1,121,27.994756700148983,0.006767346938775511,0.00336791578109916
26.700000000000003,321,25.63018760381514,0.005151020408163266,0.00713633613183657
29.3,529,23.62731568025294,0.003130612244897959,0.0109653315275498
31.200000000000003,716,26.096031227570904,0.005757142857142858,0.0144811889403735
32.2,866,26.840268773642087,0.0065653061224489806,0.0174822896297289
26.0,525,24.498879141346958,0.0065653061224489806,0.0124073186019902
28.0,693,23.742646821203113,0.006161224489795919,0.0154618060006105
31.4,1017,26.000502133929384,0.007373469387755103,0.0213211808523205
31.9,995,24.668409111738175,0.0065653061224489806,0.0205821906972647
32.0,912,27.215579627232763,0.0071714285714285725,0.0186334627781302
31.5,777,30.837516836828023,0.008181632653061224,0.0157498827026949
30.4,601,25.20272247648113,0.004544897959183674,0.0121562077037296
28.700000000000003,397,22.022688703245628,0.0001,0.00870562793552217
26.6,194,21.747053884878397,0.0001,0.00526016754953922
19.8,128,26.814381894726182,0.008181632653061224,0.00550450766366103
22.9,328,23.039726719092172,0.006161224489795919,0.00906701778057406
25.700000000000003,536,23.454544740273487,0.006161224489795919,0.0128146821807431
27.700000000000003,727,20.544529681448005,0.004140816326530613,0.0164131914624776
29.3,878,26.260575274431567,0.0077775510204081645,0.0191504460100469
30.6,980,26.715310975553162,0.007979591836734695,0.0208646095552692
31.700000000000003,1025,28.048794070131386,0.008181632653061224,0.0213532836474630
32.4,1003,23.206428871781025,0.005353061224489797,0.0205263767303837
