Tamb,I,Tcoolant_in,mass_flowrate_optimal
40.0,1003,20.425534879012748,0.0001
40.3,924,20.539272480346003,0.0001
40.2,765,21.747761153261454,0.0001
39.7,596,30.794853788988974,0.0025244897959183677
38.7,415,28.712170115488227,0.003938775510204082
36.8,208,25.16003163286113,0.005151020408163266
26.700000000000003,133,26.74732948010437,0.0001
30.1,339,29.086556185450743,0.0001
33.7,555,25.993565614149396,0.002120408163265306
36.1,752,26.958143269627936,0.0001
37.6,910,26.33269628546764,0.0011102040816326532
38.7,1015,26.026659439269626,0.001312244897959184
39.5,1060,21.781524559024813,0.0001
40.1,1039,23.87864371885632,0.0001
40.2,953,27.064499843268845,0.0025244897959183677
39.900000000000006,816,22.966766605200032,0.0001
38.8,638,24.647981390530067,0.0001
36.9,429,22.381379916546212,0.005151020408163266
34.300000000000004,217,26.168618571269267,0.004140816326530613
22.8,139,23.560668086036127,0.0001
26.1,335,25.169255876845586,0.0001
29.9,544,28.08571317990364,0.0001
33.0,746,22.051779438786202,0.0001
35.1,896,23.40158397126191,0.0019183673469387757
36.6,995,22.971935726477252,0.0001
37.6,1038,25.89283818215677,0.0001
38.2,1009,26.767161894369067,0.0001
38.2,923,25.994205468691856,0.002120408163265306
37.8,806,25.22542822689204,0.0001
36.7,604,20.9958338115212,0.0001
32.9,216,28.041337208973623,0.002928571428571429
23.6,134,26.82742037673485,0.0001
26.5,337,27.657706743755746,0.0001
29.3,547,17.754631055307776,0.0001
31.700000000000003,737,28.02636029790085,0.0001
33.6,892,26.160181257164275,0.0001
35.2,996,25.712629156104562,0.0001
36.5,1042,26.79677036793562,0.0001
37.4,1024,27.71606176589986,0.0001
37.9,947,20.505310288497828,0.0001
37.9,815,23.75780702272393,0.0001
37.4,640,26.65589875815634,0.00333265306122449
36.3,435,25.65680921064616,0.004140816326530613
34.0,223,22.906368262899672,0.004948979591836736
23.700000000000003,138,24.02141650336194,0.0001
26.8,347,26.037749082646457,0.0001
30.1,564,26.858802023220274,0.0001
32.800000000000004,759,24.68128600178303,0.0001
34.800000000000004,916,24.81738406980267,0.0001
36.3,1021,27.172745272741135,0.0001
37.6,1067,22.978146930131217,0.0001
38.400000000000006,1047,25.430139227876726,0.0011102040816326532
38.8,966,24.685647322056198,0.0001
38.7,830,18.81654537589422,0.0001
38.1,652,29.95713009531524,0.0011102040816326532
36.8,442,25.829897273860517,0.004140816326530613
34.1,223,26.749390480446376,0.003938775510204082
21.9,139,19.493133736851124,0.0019183673469387757
25.6,349,24.780162292530616,0.0001
29.3,555,25.079141798552516,0.0001
31.9,747,24.251234568360008,0.0001
33.800000000000004,917,28.078513522995337,0.0001
35.300000000000004,1022,28.849837556803976,0.0001
36.4,1068,26.259655783101866,0.0001
37.1,1050,22.638090157800807,0.0001
37.4,971,23.8299141202052,0.0001
37.0,831,26.165538992663638,0.0019183673469387757
35.800000000000004,648,26.012142531133605,0.002726530612244898
33.800000000000004,436,25.670850642235127,0.003130612244897959
31.1,221,23.97783814982668,0.003938775510204082
18.1,140,25.277030186799244,0.0001
21.5,353,23.98603854458442,0.0001
25.1,574,22.799827208294936,0.0001
28.0,774,23.963897058965514,0.0001
30.3,935,25.01462015433539,0.0001
32.4,1044,27.480437579126924,0.0001
33.9,1091,26.66307531796638,0.0001
